trade_date,stock_no,TCLOSE,HIGH,LOW,TOPEN,LCLOSE,CHG,PCHG,TURNOVER,VOTURNOVER,VATURNOVER,TCAP,MCAP
20180130,000001,13.65,13.84,13.55,13.7,13.74,-0.09,-0.655,0.6471,109473986.0,1497708872.63,234376115146.0,230930798799.0
20180131,000001,14.05,14.05,13.53,13.6,13.65,0.4,2.9304,1.0331,174772914.0,2423104767.05,241244279692.0,237698001694.0
20180201,000001,14.03,14.3,13.84,13.95,14.05,-0.02,-0.1423,1.1855,200561475.0,2821583609.23,240900871465.0,237359641549.0
20180202,000001,14.05,14.1,13.63,13.91,14.03,0.02,0.1426,0.6954,117651271.0,1637619618.32,241244279692.0,237698001694.0
20180205,000001,14.55,14.57,13.73,13.8,14.05,0.5,3.5587,1.3784,233199790.0,3326355314.78,249829485375.0,246157005313.0
20180206,000001,14,14.33,13.93,14.23,14.55,-0.55,-3.7801,1.5267,258287204.0,3641294710.26,240385759124.0,236852101332.0
20180207,000001,12.92,14.3,12.76,14.22,14,-1.08,-7.7143,1.9776,334571697.0,4521586590.19,221841714849.0,218580653515.0
20180208,000001,12.54,12.92,12.53,12.83,12.92,-0.38,-2.9412,1.2636,213781506.0,2711464886.05,215316958530.0,212151810765.0
20180209,000001,11.69,12.08,11.38,12.08,12.54,-0.85,-6.7783,1.6698,282494975.0,3308553501.52,200722108869.0,197771504612.0
20180212,000001,11.72,11.84,11.56,11.78,11.69,0.03,0.2566,0.7263,122878244.0,1439644312.04,201237221210.0,198279044829.0
20180213,000001,11.94,12.21,11.84,11.87,11.72,0.22,1.8771,0.7673,129817869.0,1562420005.24,205014711710.0,202001006422.0
20180214,000001,12,12.03,11.76,11.96,11.94,0.06,0.5025,0.5108,86419024.0,1030474410.44,206044936392.0,203016086856.0
20180222,000001,12.46,12.53,12.25,12.25,12,0.46,3.8333,0.7497,126840607.0,1573562575.57,213943325620.0,210798370185.0
20180223,000001,12.61,12.79,12.45,12.58,12.46,0.15,1.2039,0.5992,101366320.0,1278185721.74,216518887325.0,213336071271.0
20180226,000001,12.63,12.85,12.45,12.77,12.61,0.02,0.1586,0.6181,104575874.0,1318960463.96,216862295553.0,213674431416.0
20180227,000001,12.28,12.7,12.19,12.64,12.63,-0.35,-2.7712,0.7601,128586906.0,1590018492.14,210852651574.0,207753128883.0
20180228,000001,12.05,12.19,11.93,12.1,12.28,-0.23,-1.873,0.7177,121414559.0,1463313702.75,206903456960.0,203861987218.0
