名称	代码	最新价	日涨幅	溢价率	日均成交（万）	近一月	年初至今	近一年	近三年	近五年	规模（亿）	运作费率	跟踪指数	上市日期	基金公司	分类
光伏ETF	515790	1.711	-0.0075	0.0006	100560.74	0.1932	-0.0006	0.2992	-	-	149.71	0.006	光伏产业指数	44183	华泰柏瑞基金	主题，光伏，新兴产业
酒ETF	512690	0.888	-0.0274	0	79707.72	0.1072	-0.0798	-0.1276	1.1834	-	59.49	0.006	中证酒指数	43591	鹏华基金	行业，食品饮料，酒
医疗ETF	512170	0.596	-0.0165	0.0034	55022.73	0.1709	-0.1196	-0.3458	0.6588	-	130.22	0.006	中证医疗指数	43633	华宝基金	行业，医药
煤炭ETF	515220	2.424	-0.0626	0.0041	50082.9	0.0147	0.2792	0.5452	-	-	32.88	0.006	中证煤炭指数	43892	国泰基金	行业，煤炭，资源
中概互联网ETF	513050	1.163	-0.0177	0.0283	207651.13	0.0982	-0.0799	-0.3592	-0.0583	-0.0777	350.1	0.0085	中国互联网50指数	42753	易方达基金	跨境，中概股
半导体ETF	512480	0.996	0.0215	-0.002	82520.23	0.0112	-0.2338	-0.26	0.9684	-	100.86	0.006	半导体指数	43628	国联安基金	行业，半导体，芯片
军工ETF	512660	1.182	-0.0067	0.0008	61113	0.0639	-0.1887	0.1047	0.5193	0.3177	110.85	0.006	中证军工指数	42590	国泰基金	行业，军工
芯片ETF	159995	1.269	0.0128	0.0008	103693.43	0.0549	-0.2205	-0.1979	-	-	175.97	0.006	国证芯片指数	43871	华夏基金	行业，半导体，芯片
沪深300ETF	510300	4.452	-0.0131	-0.0009	189853.44	0.0874	-0.0971	-0.1169	0.187	0.3004	447.38	0.006	沪深300指数	41057	华泰柏瑞基金	宽基，大盘股
纳指ETF	513100	0.819	0.0061	0.0174	33476.49	-0.0477	-0.2366	-0.1614	0.4604	1.0475	41.86	0.008	纳斯达克100指数	41409	国泰基金	跨境，美国
新能源车ETF	515030	2.418	-0.0066	0	53229.24	0.2224	0.0241	0.131	-	-	95.21	0.006	CS新能车指数	43894	华夏基金	主题，新兴产业，新能源车
证券ETF	512880	0.943	-0.0115	-0.0021	138761.56	0.0643	-0.1981	-0.1002	-0.0426	-0.0626	322.34	0.006	证券公司指数	42590	国泰基金	行业，金融，证券
旅游ETF	159766	1.004	-0.0355	0	29414.22	0.0925	0.001	-	-	-	17.47	0.006	中证旅游指数	44400	富国基金	主题，旅游
消费ETF	159928	1.13	-0.0267	-0.0009	29042.93	0.1144	-0.063	-0.0783	0.5291	1.5251	86.82	0.006	中证消费指数	41533	汇添富基金	行业，消费
恒生医疗ETF	513060	0.614	-0.0016	-0.0081	200382.86	0.2556	-0.1114	-0.4761	-	-	23.35	0.0065	恒生医疗保健指数	44284	博时基金	跨境，香港，医药，医疗保健
养殖ETF	159865	0.88	-0.0233	-0.0011	30309.63	0.1579	-0.0211	0.0641	-	-	24.32	0.006	中证畜牧指数	44263	国泰基金	行业，畜牧业
